station,annee,mois_max_temperature,max_temperature,mois_max_temperature,min_temperature,mois_max_precipitations,max_precipitations,mois_max_precipitations,min_precipitations,jours_haute_chaleur
7005,1996,8,19.100000000000023,12,2.0,,,,,0.0
7005,1997,8,23.300000000000008,1,2.1000000000000227,,,,,0.0
7005,1998,8,19.80000000000001,12,6.7000000000000455,,,,,0.0
7005,1999,7,22.800000000000008,2,6.2000000000000455,,,,,0.0
7005,2000,8,20.70000000000005,1,5.600000000000024,,,,,0.0
7005,2001,8,21.0,12,3.400000000000034,,,,,0.0
7005,2002,8,20.70000000000005,1,6.800000000000013,,,,,0.0
7005,2003,8,23.300000000000008,2,5.050000000000011,,,,,4.0
7005,2004,8,20.400000000000034,12,4.800000000000012,,,,,0.0
7005,2005,9,19.80000000000001,2,3.950000000000017,,,,,0.0
7005,2006,7,24.900000000000034,1,3.8000000000000114,,,,,1.0
7005,2007,8,19.20000000000005,12,6.800000000000013,,,,,0.0
7005,2008,5,19.600000000000023,12,4.300000000000011,,,,,0.0
7005,2009,8,21.30000000000001,1,2.400000000000034,,,,,0.0
7005,2010,7,22.200000000000053,12,1.2000000000000457,,,,,0.0
7005,2011,7,19.100000000000023,1,5.900000000000035,,,,,1.0
7005,2012,8,22.200000000000053,2,5.400000000000035,,,,,0.0
7005,2013,7,23.300000000000008,2,3.2500000000000284,,,,,0.0
7005,2014,7,20.70000000000005,12,6.600000000000023,12.0,1.0,12.0,1.0,0.0
7005,2015,8,20.600000000000023,1,6.300000000000013,11.0,1.4,6.0,0.0,1.0
7005,2016,8,22.0,2,5.900000000000035,2.0,1.4,7.0,0.0,1.0
7005,2017,7,20.80000000000001,1,2.900000000000034,12.0,2.2,1.0,0.0,1.0
7005,2018,7,25.5,2,3.450000000000017,12.0,2.8,2.0,0.0,2.0
7005,2019,7,22.0,1,4.600000000000024,10.0,25.5,2.0,0.0,2.0
7015,1996,8,21.390000000000047,12,1.8000000000000114,,,,,0.0
7015,1997,8,26.200000000000053,1,2.300000000000012,,,,,0.0
7015,1998,8,20.890000000000047,1,6.390000000000043,,,,,1.0
7015,1999,7,23.300000000000008,12,5.5,,,,,0.0
7015,2000,8,21.390000000000047,1,5.7000000000000455,,,,,0.0
7015,2001,8,22.100000000000023,12,2.900000000000034,,,,,0.0
7015,2002,8,21.0,12,5.300000000000012,,,,,0.0
7015,2003,8,23.200000000000053,1,5.0,,,,,3.0
7015,2004,8,21.400000000000034,12,4.900000000000034,,,,,0.0
7015,2005,6,20.650000000000006,2,4.450000000000017,,,,,0.0
7015,2006,7,27.0,1,2.900000000000034,,,,,1.0
7015,2007,7,19.900000000000034,12,4.7000000000000455,,,,,0.0
7015,2008,7,20.600000000000023,12,4.600000000000024,,,,,0.0
7015,2009,8,23.0,1,2.5,,,,,0.0
7015,2010,7,23.200000000000053,12,0.20000000000004547,,,,,2.0
7015,2011,8,20.0,1,5.800000000000013,,,,,1.0
7015,2012,8,22.300000000000008,2,5.550000000000011,,,,,0.0
7015,2013,7,24.400000000000034,2,3.1000000000000223,,,,,2.0
7015,2014,7,21.600000000000023,12,5.900000000000035,12.0,0.4,12.0,0.4,0.0
7015,2015,8,22.800000000000008,1,4.7000000000000455,11.0,1.0,4.0,0.0,1.0
7015,2016,8,22.300000000000008,2,6.5,4.0,1.0,3.0,0.0,1.0
7015,2017,7,22.600000000000023,1,3.0,11.0,1.8,1.0,0.0,0.0
7015,2018,7,26.5,2,4.050000000000011,12.0,1.4,2.0,0.0,3.0
7015,2019,8,22.800000000000008,1,4.900000000000034,10.0,21.0,2.0,0.0,4.0
7020,1996,8,18.5,2,6.890000000000043,,,,,0.0
7020,1997,8,19.70000000000005,1,6.300000000000013,,,,,0.0
7020,1998,8,18.44500000000002,12,9.5,,,,,0.0
7020,1999,8,19.30000000000001,2,8.845000000000027,,,,,0.0
7020,2000,8,18.80000000000001,1,8.390000000000043,,,,,0.0
7020,2001,8,18.5,1,8.100000000000023,,,,,0.0
7020,2002,8,19.100000000000023,1,9.800000000000011,,,,,0.0
7020,2003,8,19.900000000000034,2,8.400000000000006,,,,,0.0
7020,2004,8,19.600000000000023,2,8.300000000000011,,,,,0.0
7020,2005,8,19.400000000000034,2,7.200000000000018,,,,,0.0
7020,2006,7,19.0,2,6.8500000000000245,,,,,0.0
7020,2007,8,18.100000000000023,12,9.600000000000025,,,,,0.0
7020,2008,7,17.900000000000034,12,8.400000000000034,,,,,0.0
7020,2009,8,18.600000000000023,1,7.2000000000000455,,,,,0.0
7020,2010,7,18.400000000000034,12,5.800000000000013,,,,,0.0
7020,2011,9,17.650000000000006,1,7.5,,,,,0.0
7020,2012,8,18.5,2,8.550000000000011,,,,,0.0
7020,2013,8,18.80000000000001,3,6.25,,,,,0.0
7020,2014,9,19.0,2,9.100000000000023,12.0,0.6,12.0,0.6,0.0
7020,2015,8,18.0,2,7.300000000000013,1.0,1.1,4.0,0.0,0.0
7020,2016,8,18.80000000000004,2,8.5,1.0,2.0,3.0,0.0,0.0
7020,2017,8,18.5,1,8.950000000000017,12.0,0.8,1.0,0.0,0.0
7020,2018,7,19.400000000000006,2,7.200000000000018,1.0,2.6,5.0,0.0,0.0
7020,2019,8,19.20000000000005,1,7.400000000000035,10.0,7.4,1.0,0.0,0.0
7027,1996,8,20.70000000000005,12,4.5,,,,,0.0
7027,1997,8,25.200000000000053,1,4.0,,,,,0.0
7027,1998,8,21.150000000000034,12,7.890000000000043,,,,,1.0
7027,1999,7,22.800000000000008,12,7.800000000000013,,,,,0.0
