1996,405
1997,294
1998,225
1999,178
2000,87
2001,218
2002,83
2003,301
2004,162
2005,441
2006,280
2007,171
2008,100
2009,331
2010,679
2011,134
2012,409
2013,286
2014,34
2015,86
2016,110
2017,236
2018,182
2019,49
