annee,mois,temperature
1996,1,8.890000000000043
1996,2,6.390000000000043
1996,3,9.700000000000044
1996,4,14.700000000000045
1996,5,15.300000000000011
1996,6,22.100000000000023
1996,7,23.300000000000008
1996,8,22.150000000000038
1996,9,18.600000000000023
1996,10,15.5
1996,11,10.0
1996,12,7.0
1997,1,5.345000000000027
1997,2,10.890000000000043
1997,3,13.800000000000011
1997,4,15.100000000000026
1997,5,18.890000000000047
1997,6,19.600000000000023
1997,7,22.800000000000008
1997,8,26.5
1997,9,22.700000000000053
1997,10,17.200000000000045
1997,11,12.0
1997,12,8.800000000000011
1998,1,9.0
1998,2,10.800000000000011
1998,3,11.600000000000026
1998,4,12.390000000000045
1998,5,19.5
1998,6,20.5
1998,7,21.800000000000008
1998,8,23.84500000000003
1998,9,19.70000000000005
1998,10,14.890000000000045
1998,11,9.300000000000011
1998,12,8.0
1999,1,9.100000000000025
1999,2,7.7000000000000455
1999,3,11.800000000000011
1999,4,13.800000000000011
1999,5,18.890000000000047
1999,6,20.5
1999,7,24.800000000000008
1999,8,23.600000000000023
1999,9,22.0
1999,10,16.0
1999,11,9.890000000000043
1999,12,8.300000000000011
2000,1,6.750000000000029
2000,2,10.0
2000,3,11.390000000000045
2000,4,13.700000000000045
2000,5,19.20000000000005
2000,6,22.100000000000023
2000,7,21.55000000000001
2000,8,24.200000000000053
2000,9,21.20000000000005
2000,10,15.050000000000013
2000,11,10.900000000000034
2000,12,10.700000000000044
2001,1,8.0
2001,2,8.600000000000023
2001,3,12.400000000000036
2001,4,12.100000000000026
2001,5,18.650000000000034
2001,6,21.100000000000023
2001,7,23.400000000000034
2001,8,24.300000000000008
2001,9,18.20000000000005
2001,10,18.80000000000001
2001,11,9.700000000000044
2001,12,5.7000000000000455
2002,1,9.0
2002,2,10.600000000000025
2002,3,12.800000000000011
2002,4,14.200000000000045
2002,5,16.600000000000026
2002,6,21.5
2002,7,21.900000000000034
2002,8,21.900000000000034
2002,9,19.80000000000001
2002,10,16.300000000000008
2002,11,12.200000000000045
2002,12,9.900000000000034
2003,1,6.600000000000023
2003,2,7.2000000000000455
2003,3,14.0
2003,4,15.600000000000026
2003,5,17.900000000000034
2003,6,25.700000000000053
2003,7,25.300000000000008
2003,8,28.800000000000008
2003,9,21.400000000000034
2003,10,13.950000000000017
2003,11,12.200000000000045
2003,12,8.200000000000045
2004,1,7.7000000000000455
2004,2,8.0
2004,3,10.200000000000044
2004,4,13.600000000000026
2004,5,17.5
2004,6,22.100000000000023
2004,7,23.200000000000053
2004,8,23.100000000000023
2004,9,21.100000000000023
2004,10,16.400000000000034
2004,11,10.400000000000034
2004,12,7.0
2005,1,8.100000000000023
2005,2,5.7000000000000455
2005,3,12.100000000000026
2005,4,14.200000000000045
2005,5,17.70000000000005
2005,6,23.300000000000008
2005,7,23.900000000000034
2005,8,22.800000000000008
2005,9,21.20000000000005
2005,10,18.400000000000034
2005,11,10.400000000000034
2005,12,5.800000000000013
2006,1,5.900000000000035
2006,2,6.100000000000023
2006,3,10.450000000000017
2006,4,14.300000000000011
2006,5,18.100000000000023
2006,6,23.350000000000023
2006,7,28.300000000000008
2006,8,21.20000000000005
2006,9,22.400000000000034
2006,10,18.400000000000034
2006,11,13.5
2006,12,8.800000000000011
2007,1,10.400000000000034
2007,2,10.600000000000025
2007,3,11.800000000000011
2007,4,18.5
2007,5,17.400000000000034
2007,6,21.100000000000023
2007,7,21.400000000000034
2007,8,21.400000000000034
2007,9,19.70000000000005
2007,10,16.0
2007,11,10.600000000000025
2007,12,7.7000000000000455
