,station,annee,mois_max_temperature,max_temperature,mois_max_temperature.1,min_temperature,mois_max_precipitations,max_precipitations,mois_max_precipitations.1,min_precipitations,jours_haute_chaleur,Unnamed: 0,Nom,Latitude,Longitude,Altitude,metropole
43,7015,2015,8,22.800000000000008,1,4.7000000000000455,11.0,1.0,4.0,0.0,1.0,1,LILLE-LESQUIN,50.57,3.0975,47,1
44,7015,2016,8,22.300000000000008,2,6.5,4.0,1.0,3.0,0.0,1.0,1,LILLE-LESQUIN,50.57,3.0975,47,1
45,7015,2017,7,22.600000000000023,1,3.0,11.0,1.8,1.0,0.0,0.0,1,LILLE-LESQUIN,50.57,3.0975,47,1
46,7015,2018,7,26.5,2,4.050000000000011,12.0,1.4,2.0,0.0,3.0,1,LILLE-LESQUIN,50.57,3.0975,47,1
47,7015,2019,8,22.800000000000008,1,4.900000000000034,10.0,21.0,2.0,0.0,4.0,1,LILLE-LESQUIN,50.57,3.0975,47,1
48,7020,1996,8,18.5,2,6.890000000000043,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
49,7020,1997,8,19.70000000000005,1,6.300000000000013,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
50,7020,1998,8,18.445000000000018,12,9.5,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
51,7020,1999,8,19.30000000000001,2,8.845000000000027,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
52,7020,2000,8,18.80000000000001,1,8.390000000000043,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
53,7020,2001,8,18.5,1,8.100000000000023,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
54,7020,2002,8,19.100000000000023,1,9.800000000000011,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
55,7020,2003,8,19.900000000000034,2,8.400000000000006,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
56,7020,2004,8,19.600000000000023,2,8.300000000000011,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
57,7020,2005,8,19.400000000000034,2,7.200000000000018,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
58,7020,2006,7,19.0,2,6.8500000000000245,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
59,7020,2007,8,18.100000000000023,12,9.600000000000025,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
60,7020,2008,7,17.900000000000034,12,8.400000000000034,,,,,0.0,2,PTE DE LA HAGUE,49.725167,-1.939833,6,1
